"That is his 4th ODI hundred! Full ball, outside off, tries to drive on the off side, gets the inner edge to leg side and comes back for the 2nd run"
"Shot! Full ball, outside off, leans well forward nad drives to extra cover fence for four"
"slower ball, outside off, driven to deep cover for couple of runs"
"full ball, driven down the ground to long-on"
"full ball, on middle stump, goes for the big shot, inside edge to midwicket and ran a quick single, fielder missed the stumps and no damage done"
"Low full toss on middle stump, gives himself some room and hits it along the ground between mid-off and extra cover"
"slower ball, outside off, drives to extra cover for couple of runs"
"low full toss on middle stump, turned to midwicket for a single"
"full ball, on off stump, pushes to mid-off for a single"
"full ball, outside off, drives to extra cover for a single"
"lovely yorker, just missed the off stump through to keeper"
"low full toss on middle stump, driven to long-on for a single"
""
""
"full ball, outside off, inside out drive to extra cover for couple of runs"
"slower ball, just outside off, goes for the cut and misses it"
"From round the wicket, full ball on middle stump, Raza goes for a big shot, misses it and ball hits the middle stump"
"full ball, outside off, slices it down to third man for a single"
"Shot! Full ball, on leg stump, flicks it away over square leg for four"
"good length ball, on middle stump and angling across the left hander, lets it go"
"Beauty! Full ball, pitches on middle stump and swings back in to the left hander, Imam tries to drive, goes through the gate and hits the stumps"
"full and wide outside off, moves away, lets it go"
"back of length, on off stump, stands tall and defends to off side"
"short ball, outside off, Babar ducks underneath it"
"full ball, outside off, drives to point for couple of runs"
"Gone! good length ball, pitches just outside off and angling in, hits the pad, big shout for lbw and up goes the finger of umpire. Review has been taken and it stands umpire call as ball was clipping top of leg"
"Short in length, outside off, Haider cuts it to backward point fence for four"
"This time on the leg side, short in length, down the leg side, flicks it away to fine leg fence for four more"
"full ball, outside off, drives to short cover"
"Shot! Full ball just outside off, leans well forward and drives to deep point for four"
"good length ball, on off stump, edges it down to third man"
"full ball, on off stump, defends to off side"
"good length ball, on middle and leg stump, pushes to mid-on"
"full ball, on middle stump, pushes to cover"
"on middle and leg stump, turned away to leg side"
"back of length, just outside off, punches to off side"
"Full ball, on middle and leg stump, swings back into the right hander, hits the pad in line of middle and leg stump, big shout for lbw and up goes the finger. Review has been taken it shows no bat and ball hitting the stumps"
"good length ball, just outside off and moves away, tries to push at it and misses it"
""
""
"back of length, stands tall and punches to deep point fence for four"
"short ball, ducks underneath it"
"full ball, on off stump, pushes to cover"
"good length ball, just outside off and moves away, plays and misses"
"good length ball,  outside off and left alone"
"full ball, on off stump, pushes to cover"
"good length ball, on leg stump, off the pads to fine leg"
"good length ball, just outside off and left alone"
"full ball, on middle stump, gets well forward and defends it back to bowler"
"again on target, defended back to bowler"
"short and wide outside off, cuts it down to third man"
"full ball, on off stump, pushes to cover"
"short ball, outside off, cuts it to point"
"full ball, on leg stump, comes well forward and defended back to bowler"
"full ball, on middle and leg stump, whips it away to midwicket for couple of runs"
"full ball, on off stump, pushes to cover"
"good length ball, on middle and leg stump, turned to square leg"
"short ball, goes for the pull shot and mistimes to leg side"
"full ball, on off stump, drives back to bowler"
"short ball, on leg stump, pulls it down to fine leg"
""
""
""
""
""
"full ball, outside off, driven to cover"
"good length ball, sliding down the leg side through to keeper for a wide"
"on middle and leg stump, pushes to mid-on for a quick single"
"good length ball, angling in, goes bck and defends it awkwardly"
"good length all, on leg stump, flicked away down to fine leg"
"full ball, on off stump, pushed to cover"
"good length ball, on target, defended on the front foot"
"full ball, on off stump, drives down the ground to mid-off"
"back of length, on leg stump, goes back and pushes to mid-on"
"full ball, on off stump, pushes to cover"
"Shot! Full ball, outside off, leans well forward and drives to extra cover fence for four"
"good length ball, on leg stump, gets across and flicks it away down to fine leg fence for four more"
"short in length, on leg stump, tries to flick it away, misses it and takes it on the pad"
"full ball, on off stump, pushes to off side"
"short in length, outside off, angles it to gully"
"short in length, outside off, cuts to deep cover"
"tossed up, outside off, driven to deep cover"
"short in length, on off stump, punches to long-off"
"short ball, outside off, cuts to deep point"
"tossed up, on middle stump, came well forward and defended to leg side"
"short in length, outside off, mistimed drive to cover"
"Zimbabwe strikes again! Full ball, just outside off and angling in, Rizwan tries to drive away from the body, thick inside edge onto stumps"
"short in length, outside off, cuts it down to third man"
"good length ball, outside off, driven to deep cover"
"full ball, just wide outside off and left alone"
"full ball, outside off and left alone"
"low full toss on off stump, pushes to cover, misfielded cost a single"
"short in length, outside off, cuts to deep point"
"tossed up, outside off, driven to cover"
"short in length, outside off, cuts to deep point"
"tossed up, came well forwad and driven to long-off"
"short in length, stands tall and punches to long-off"
""
""
"good length ball, outside off, angles it down to third man for another single"
Full ball well down the leg side through to keeper for a wide
"good length ball, on off stump, defended to off side"
"Shot! Full ball, outside off, leans well forward and drives to extra cover fence for four"
""
"arm ball, on off stump, comes well forward and defended back to bowler"
on middle and leg stump turned to leg side
"short in length, outside off, cuts to deep cover fence for four"
"short in length, outside off, cuts to deep cover"
"on middle and leg stump, turned to midwicket"
"tossed up, on off stump, driven to long-off"
"full ball, on off stump, pushed to cover"
"good length ball, on off stump, pushed to mid-off"
"good length ball, on leg stump, flicked away down to fine leg for four"
"short in length, on off stump, pushed to point"
"short in length, outside off, punches to deep cover"
"Shot! Full ball, on middle and leg stump, pushes down the ground to mid-on for four"
"tossed up, on leg stump, driven to long-on"
"short in length, outside off, cuts to deep cover"
"short in length, outside off, pushed to cover"
"arm ball, on off stump, came forward and pushed to cover"
"short in length, outside off, punched to long-on"
"short ball, outside off, cuts to deep cover"
"full ball, on middle and leg stump, turned to midwicket"
"on middle and leg stump, turned to midwicket for a single"
"Played on! Good length ball, from wide of the crease and angling in a bit, Iftikhar tries to drive on the up, thick inside edge back onto stumps"
"full ball, on middle stump, gets right behind it and defends it back to bowler"
"full ball, outside off, tries to play at it"
"good length ball, on off stump, pushed to off side"
"on middle and leg stump, turned to leg side"
"tossed up, on off stump, pushed back to bowler"
"short in length, outside off, pushed to cover"
"again short in length, outside off, punches to deep point"
"arm ball, on leg stump, turned to midwicket"
"short and wide outside off, cuts to deep cover"
"full ball, on off stump, tries to drive, inner edge to leg side"
"Full ball, on middle and leg stump, drives in the air just wide of bowler and beat the mid-on fielder for four"
"short ball, outside off, cuts to deep point"
"short ball, well over batsman head and called a wide"
"fuller in length on off stump, gets well forward and defended"
"full ball, on off stump, pushes back to bowler, Triripano slipped in his follow through"
"full ball, on target, defended back to bowler"
"tossed up, came well forward and defended"
"short in length, outside off, cuts to deep cover"
"short in length, outside off, cuts and misses"
"tossed up, on off stump, pushed to cover"
"faster ball, on off stump, pushed back to bowler"
"again nicely tossed up, defended back to bowler"
"full ball, on middle and leg stump, driven to deep midwicket for couple of runs"
"full ball, on off stump, drives to short cover"
"short in length, cuts to point for a quick single"
"full ball, on leg stump, pushes to mid-on"
"full toss just outside off, Khushdil unable to pick that one"
"full ball, on off stump, pushes to mid-off"
"tossed up, on off stump, defended back to bowler"
"short in length, on leg stump, turned to deep midwicket"
"on middle and leg stump, turned to midwicket, Khushdil wanted a single, sent back by skipper"
"tossed up, on off stump, pushed back to bowler"
"on middle and leg stump, punched down the ground to long-on"
"tossed up, outside off, driven to deep cover"
"tossed up, on middle stump, driven to long-on"
"on middle and leg stump, turned to midwicket"
"short in length, on leg stump, turned to midwicket again"
"short in length, punched down the ground to long-on"
"tossed up, on off tump, pushed to cover"
"tossed up, on leg stump, went back and defended"
"arm ball, on leg stump, pushed to mid-on"
"tossed up, on leg stump, turned to midwicket"
"short and wide outside off, leans back and cuts it down to third man for four"
"tossed up, on off stump, pushed back to bowler"
""
"short ball, outside off, lofted drive well short of long-off fielder"
"faster ball, on off stump, punched to deep cover"
"tossed up, on off stump, pushed to long-off"
"faster ball, on leg sump, came down the wicket and turned to midwicket"
"Shot! Tossed up, on leg stump, flat hit down the ground and no chance for the long-on fielder to stop that one"
"on middle and leg stump, pushed to long-on"
"on middle and leg stump, pushes to long-on for a single and brings up his fifty"
"short in length, outside off, cuts to deep point"
"short in length, outside off, cuts to deep cover"
"faster ball, on off stump, defended to cover"
"short in length, outside off, cuts to deep point"
"again short in length, leans back and cuts to point"
"arm ball, on leg stump, pushes down the ground to long-on"
"on middle and leg stump, turned to midwicket"
"on leg stump, worked away to leg side"
""
"tossed up, on off stump, pushd back to bowler"
"tossed up, on off stump, pushed to off side for a single"
"short ball, ouside off, cuts to deep point"
"Short in length, on middle and leg stump, pulls it away in the gap over midwicket for four"
"on middle and leg stump, driven down the ground to long-on"
"faster ball, on middle and leg stump, pushed to long-on"
"short in length, punched down the ground to lng-on"
"tossed up, bit slower in pace, tried to drive but defended at the end"
"short in length, Babar goes back and punches it away to extra cover, fielder chases hard, dives but unable to stop the ball"
"nicely tossed up, defended on the front foot"
"on leg stump, turned to short fine leg"
"Shot! short in length, on leg stump, down on one knee and chips it over backward square leg fielder for four"
"tossed up, came down the wicket and pushed to long-on"
"arm ball, on off stump, pushed to cover"
"short and wide outside off, cuts to deep point for couple of runs"
"arm ball, on off stump, pushed to short cover"
"good length ball, on off stump, pushed to cover"
"on middle and leg stump, turned to midwicket"
"short in length, outside off, cuts it down to third man for a single"
"short in lengh, on off stump, angles it down to third man for a single"
"good length ball, on middle and leg stump, pushed back to bowler"
"Excellent change by Chibhabha. Fuller in length, just outside off, angling across the left hander, tries to push at it and thick outside edge on the way through to keeper"
"short in length, on off stump, goes back and pulls it over midwicket for four"
"tossed up, on off stump, pushed to long-off"
"arm ball, on off stump, pushed to off side"
"tossed up, on middle stump and turned away, tried to play on the leg side, leading edge to gully"
"again sharp turn for Williams, Wahab plays and misses"
"tossed up, on off stump, pushed to point"
"full ball, angling down the leg side through to keeper for a wide"
"fuller in length, on middle stump, defended on the front foot"
"poor delivery, on leg stump, Babar flicks it away down to fine leg fence for four"
"good length ball, on off stump, comes forward and defends to off side"
"good length ball, outside off, punches to deep point"
"full ball, on off stump, defended to off side"
"full ball, on middle and leg stump, whips it away to midwicket, slight fumble and Wahab back for 2nd run"
"short in length, outside off, cuts to deep point"
"tossed up, outside off, tried to hit too hard, mistimed to off side"
"on off stump, pushed to cover for a single"
"tossed up, on off stump, driven down the ground to long-off"
"tossed up, outside off, driven to deep cover for a single"
"short and fast on off stump, pulls to long-on"
"tossed up, outside off, got some turn and kept bit low, shout for lbw, turned down by umpire, review has been taken and it shows that ball hit outside off, decision stands for umpire"
"tossed up, outside off, driven to deep cover"
"tossed up, on off stump, defended on the front foot"
"short in length, on leg stump turning in, turned to midwicket"
"arm ball, on off stump, pushed to cover"
"poor delivery, short in length, on leg stump, pulls it away wide of short fine leg fielder for four"
"short in length, outside off, cuts to deep cover"
"arm ball, on off stump, pushed to cover"
"short in length, on off stump, punched to cover"
"short in length, just outside off, goes for the drive, edges it down to third man fence for four"
"on middle and leg stump, flicked away down to fine leg for couple"
"tossed up, outside off, driven to deep cover for a single"
"tossed up, on off stump, inner edge down to fine leg"
"short in length, on leg stump, turned to deep square leg"
"well tossed up, defended on the front foot"
"again tossed up, defended on the front foot"
"tossed up, on off stump, pushed to off side"
"tossed up, on off stump, pushed to cover"
"full ball, on off stump, pushes to cover"
"Shot! Full ball, on middle and leg stump, clipped away off his toes to deep midwicket fence for four"
"full ball, on leg stump, pushed to mid-on for a single"
"full ball, on middle and leg stump, turned to leg side"
"full ball, on off stump, nudged to off side for a quick single"
