"good length, on the stumps and spinning away, he gets right behind it and defends"
"too full, driven past extra cover to get off the mark"
"back of a length outside off, he stays beside the line and punches it past point"
"back of a length outside off to the left-hander now, and Shakib nudges it past cover"
"varies his length, goes fuller. Mushfiqur transfers weight in time to defend it from the crease"
"returns to his back of length delivery outside off, and Mushfiqur gets on his toes to punch it to cover"
"<b>brilliantly caught - or is it?</b> Shakib was too early into the shot and it popped up back to Roach, who dived forward and caught the ball. Shakib is staying put though. And now we see why. <b>The ball bounced just before he got it</b> Difficult for the fielder to know the ball has bounced in these cases. The ball was dying on Roach, and he was diving forward and to his right."
on the pads and tapped into the leg side
"tossed up generously, but he doesn't give in to the temptation to swat it. Just pats it away"
"<b>beaten</b> gets his loop right immediately and slides it across the right hander. Arm ball went with the line, but he played inside the line"
"too short, and he rocks back to pull it to square leg"
"tossed up again, very slow through the air. 67kph. Defended"
"given air outside off, Shakib is taking no chances. Defends into the off side"
"very loopy and wide outside off, Shakib comes forward to drive it to the man at deep cover"
"strays down leg first ball, past the pads"
"very full on the stumps, driven back past the bowler"
"good length, nipping back in. He manages to chop it down to gully"
"yorker length ball, dug back out to the bowler."
"length ball, seaming back in but not far enough. He covers the line and lets it go through"
"fuller outside off, he comes forward to push it to cover"
"tossed up on off, but Mushfiqur reads it well, stays back and low and steers it down to third man"
"<b>narrowly missed</b> went for the sweep, got an under-edge and the ball rolled past off stump. Close call"
"good flight, makes him come forward to defend"
back of a length and he stays back to cut it through point. <b>Mushfiqur has become only the second Bangladesh batsmen with 4000 runs in Tests</b> Full <a href='http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;team=25;template=results;type=batting' target='_blank'>list</a>
stays back to defend
"given air outside off, he comes forward to work this to long-on"
"back of a length, but keeps the line on the stumps. Defended to cover off the back foot"
keeps it straight and slightly short of a length. Blocked
"goes fuller that time, driven firmly off the front foot but straight to mid-on"
"returns to back of length, defended off the back foot to gully"
"length ball on off, not quite in driving range. Gets the end of the bat to mid-off"
"fuller length outside off again, driven firmly again, but straight to extra cover"
waits for it and steers it to third man with a late cut. Finesse
"lets it go through, he read that it wasn't the googly so wouldn't be spinning back"
"too full and he goes down to sweep it, to midwicket"
"slightly back of a length, spinning away, and cut with the spin to deep point"
"comes down the track, but the bowler adjust by going flatter. Patted into the leg side"
"too short again, stays back and whips it to deep square leg"
flicked to fine leg
"back of a length outside off, the ball didn't rise much. pushed past cover"
"<b>cleaned him up</b> Full, quick and swinging back in. Goes completely through Mushfiqur and makes a mess of his stumps. Great ball, deserved a wicket. West Indies still fighting"
"back of a length outside off, he hung his bat out at that, goes of the toe end past point"
"<b>inside edge</b> Coming into the batsman from round the wicket and Shakib looked tentative, the ball takes the inside edge and goes to fine leg"
"outside off on a length, pushed tamely toward gully, who makes a diving stop"
"nicely bowled, on a good length and has Shakib going back to defend it"
"fired in quicker and flatter, he defends off the front foot"
"flatter outside off, getting some turn still, Shakib plays with the turn to push to point"
"tossed up on off, allows him to drive through cover"
"tossed up on a good length, comes forward to turn it to midwicket"
"tossed up, too full. Driven to wide long-on"
"<b>squared him up</b> Straightened appreciably after pitching, he was expecting to play it on leg stump, it takes the outside edge and flies away. Point puts in a dive to stop the ball"
patted back towards mid-off
"too close to cut, and not really that short. Shakib still manages to cut it, but the man at gully dives and stops the ball"
"bouncer  but  down leg, Shakib went for the pull but didn't connect. Half-hearted appeal from the keeper, but no one else joined in"
"<b>well fielded by cover</b> driven on the up to cover, got his body behind it and the ball bounced off his left shin to mid-off. He's getting some treatment now"
"bouncer outside off, he swats it down to deep cover, riding the bounce"
"tossed up on off, driven to cover"
"<b>outside edge</b> gets it on the right length, getting Shakib forward and taking the thick edge with his spin, goes down to third man"
comes forward to defend
"fuller, tossed up. tapped back to the bowler"
"flatter on off, brings him forward and he ends up pushing it to cover"
"strays on the pads with this quicker one, and he's picked off down to fine leg"
"back of a length outside off, opens the face to steer it to third man"
"length ball outside off, tries to punch it with a flat bat, but ends up getting only the toe end"
""
""
"back of a length, angling into the body, tucked watchfully into the leg side"
"shorter still, angling into the ribcage. Swivels round to hook towards long leg, rolling his wrists over to keep the ball down"
"tossed up on the stumps, driven to mid-off"
"skidded through, he stays back to punch it"
outside off and cut to point
"tossed up, but he comes forward to the pitch of the ball and drives it fluently to deep cover"
"tossed up, he comes down the wicket and pats it to long-on"
""
<b>overthrows</b> fuller ball steered to point. He dives and saves but the throw back is sloppy and mid-on has to run back to collect it
"length ball outside off, not rising very much. Blocked to cover"
"strays on the pads, and is turned to fine leg"
"very straight, he flicks it from middle stump, but there is a midwicket who stops it"
given room outside off and he leans into a nice looking cover drive
"coming back into him, defended towards midwicket"
opens the face of the bat to steer it to third man
"<b>beaten</b> on a great length, draws him forward and spins past the bat"
