"good length ball, just outside off, angles it down to third man and comes back for the 2nd run"
"back of length, on leg stump, turned to leg side"
"full ball, on off stump, pushed to cover for a single"
"tossed up, on off stump, pushed to off side"
"short in length, outside off, cuts to deep point for two"
"arm ball, on leg stump, goes for the pull, misses it and takes it on the thigh"
"tossed up, driven back to bowler, Williams misfielded cost a single"
"tossed up, outside off, pushed to cover"
"again tossed up, driven back to bowler and Williams this time made a diving save"
"Shot! Short and wide outside off, leans back and cuts away to backward point fence for four"
"This time on the onside! Full ball, on leg stump, Babar clipped away off his pad and it raced away to long leg fence for four more"
"full ball, on middle and leg stump, pushed to mid-on"
"good length ball, on target, gets right behind it and defends back to bowler"
"on middle and leg stump, worked away to midwicket for a single"
"good length ball, just oustide off, goes for the drive, edges it just short of slip fielder"
"tossed up, on off stump, driven down the ground to long-off"
"short in length, goes back and cuts to deep cover"
"Shot! Tossed up, Babar used his feet and lofted it in the gap over midwicket for four"
"short in length, outside off, pushes to point"
"arm ball, on off stump, gets forward and pushes to short cover"
"Slightly short in length, Babar goes deep in the crease and cuts it late uses the pace of the bat even sweeper cover unable to stop that one"
"Gone! Tossed up, on leg stump, Rizwan tries to play a reverse sweep, misses it and ball kisses the stumps on the way through to keeper"
"tossed up, on target, defended back to bowler"
"tossed up, outside off, got sharp turn, Iftikhar tried to defend, went through the gate and hit the pad, big shout for lbw, turned down, review has been taken and there was an inside edge replay shows"
"faster ball, on off stump, pushed back to bowler"
"on middle and leg stump, turned to short fine leg"
"again on leg stump, turned to leg side"
"tossed up, outside off, driven to short cover"
"short in length, outside off, pushed to cover"
"tossed up, on off stump, defended on the front foot"
"arm ball, on off stump, gets well forward and pushes to off side"
"short in length, outside off, cuts to deep cover"
"arm ball, on off stump, pushes to deep cover"
"tossed up, on middle stump, turned to midwicket"
"on middle and leg stump, driven to long-on"
"short in length, on leg stump, punches to long-on"
"Shot! Tossed up, outside off, came well forward and driven to deep cover fence for four"
"tossed up, on off stump, went back and worked away to leg side for a single"
"short in length, on leg stump, pulls it over backward square leg fielder for four"
"arm ball, on off stump, pushes back to bowler"
"tossed up, outside off, pushed to cover"
"on middle and leg stump, turned to short midwicket"
"short in length, on leg stump, pushed to long-on"
"arm ball, on off stump, pushes to short cover"
"tossed up, outside off, driven to long-off"
"tossed up, on off stump, pushed to cover"
"on middle and leg stump, turned to leg side for a single"
"tossed up, on off stump, nudged it to off side for a single"
"tossed up, on middle stump, defended back to bowler"
"tossed up, on off stump, pushed to deep cover"
"tossed up, on middle and leg stump, went back and turned to deep midwicket for a single"
"tossed up, on leg stump, driven to long-on for a single"
"tossed up, on target, pushed back to bowler"
"turn and bounce just outside off, angles it to short third man"
"on middle and leg stump, turned to short midwicket"
"tossed up, wide outside off, mistimed to off side"
"on middle and leg stump, turned away down to fine leg for couple of runs"
"faster ball, on middle stump, turned away to short fine leg for a single"
"tossed up, on middle stump, driven down the ground to long-on"
"tossed up, outside off, pushed with soft hands to off side for a single"
"again on middle stump, driven down the ground to long-on"
"short in length, on leg stump, punches to long-on"
"tossed up, on middle and leg stump driven down the ground to long-on"
"short in length, outside off, cuts to deep point"
"tossed up, on off stump, came well forward and defended"
"Long hop, Babar goes deep in the crease and pulls it away over deep midwicket fence for a six"
"tossed up, outside off, driven to deep cover for a single"
"short and wide outside off, punches to deep cover"
"arm ball, on middle stump, turned to midwicket"
"arm ball, just outside off, goes for the big drive, misses it through to keeper, big shout for caught behind and up goes the finger, review has been taken and it shows nothing from the bat, umpire has to changed their decision"
"on middle and leg stump, driven to long-on"
"tossed up, on off stump, pushed to off side"
"short in length, on leg stump, turned to short fine leg"
"tossed up, came down the wicket and pushed to wide of mid-off"
"faster ball, on leg stump, turned to square leg"
"tossed up, on target, pushed back to bowler"
That is it. Babar finishes it off in style. Came down the wicket and lofted it high and handsome over long-off fence for a six
