"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"length ball outside off, and Moor drags a flat-batted pull over the non-striker's head. In the air for a long time, and Shoaib Malik makes no mistake at long on. <b>Hasan whimpers in his celebration. Probably that neck injury</b>"
"full on off, and defended with soft hands. Back to Amir"
"attempted yorker on middle, and that's been clipped away to the mid-wicket region"
"full on middle, and the straight drive has been inside-edged onto his pads"
"full on middle, and driven with the bat's open face to deep point"
"full on leg stump, and gently pushed back to Amir off the front foot"
"yorker on off, but angling across the batsman. Just misses the base of off stump as Sarfraz collects the ball"
"swing and a miss! Length ball outside off, and he goes for a wild slog across the line. Misses completely"
"full on off, and this time the slog has gone straight to midwicket. The batsmen want the run, but Chatara is slow to get off the blocks. The fielder picks the ball up, aims at the stumps, and <b>bull's eye!</b>"
<b>oh glorious.</b> Overpitched with some width outside off and he leans in to get to the pitch and caress this between extra cover and mid-off
<b>beaten.</b> Length slightly shorter this time and inviting him to drive again. He takes it on but hasn't transferred the weight into it this time. Slants past the outside edge
"length ball outside off, left alone"
"short ball at the chest, gets inside the line and pulls to fine leg"
short and wide outside off. Slapped through cover point on the up. Too easy.
short of a length and angled across him. Goes only-hands and nudges it past backward point
"short and across the corridor, left alone"
<b>inside edge</b> onto pad. Length ball outside off and he feels for it with an angled bat. Didn't try and get behind the line
"length ball on leg stump, defended into the leg side with a closed face"
"<b>escapes narrowly</b> with both a catch and a run-out chance. Loses his presence of mind, Fakhar. Chips a length ball in front of square leg. He wasn't to the pitch of that ball to be playing the flick. As it's in the air and lands in front of the fielder at midwicket, he's ball-watching and meandering down the pitch. Runs halfway and is nowhere in the picture as the throw comes in. He misses though and Fakhar survives"
"full outside off, driven to mid-off's right"
"length on the pads, clipped to fine leg off the front"
"nicely played, but finds the fielder. Short and wide and he's nicely on top of this to play the cut"
short on the hips. Nudged gently to fine leg's right for an easy two
"short of a length on leg stump and once again, he gives fine leg some work to his right"
short and wide and belted straight to cover. A fumble from the fielder but Imam knows his basics. Won't run off that misfield
length and just wide of the corridor. Left alone
"length on off stump, gets behind the line and taps towards mid-on with the full face"
length ball slanted across off stump. Tapped back down the pitch
"length ball outside off, expansive drive on the up. Can't get it past cover"
short and wide outside. Whacked straight cover with a flat-bat. But there's another fumble
"length and across the corridor, left alone"
"short outside off, defended to point off the back foot"
short of a length and lifting up at off stump. Defended off the back foot
inswinger at a length in the corridor. Gets on the back foot and slices to third man
well timed. Shuffles across into the off side and uses the angle into him to punch one wide of mid-on off the back foot
"<b>beaten.</b> Full and wide outside off, stretches a long way for the cover drive and is beaten. This one doesn't come in with the angle"
short and very wide outside off. Left alone
"short of a length outside off, punched to cover off the back foot"
poor ball. A nice over undone. Short and about hip height. He watches it come on and pulls to the midwicket boundary
"short of a length outside off, punched to mid-off off the back foot"
"<b>thick outside edge</b> falls short of third man. Once again, the steepness of a regular Muzarabani length ball troubles Fakhar. Chucks his hands to try and drill this through cover but is in a woeful position"
"short of a length at off stump, tapped into the covers"
"length on off stump, sliced into the off side off the front foot"
short of a length in the corridor. Left alone
"length ball in the corridor, goes down to third man off the outside half as he looks to defend"
"<b>gets it right this time</b> and breaches the infield. Fakhar more patient this time, gets the front leg out of the way of this length ball to make some room and plays late as he punches wide of mid-off"
"short ball in the corridor. Looks to pull wide of mid-on, but gets it off the toe-end"
"<b>beauty.</b> Short of a length outside off and once again, patience works. Springs into it by getting on his toes, opens his wrists late as he gets tall, and punches firmly between point and cover"
<b>forceful</b> this time and on the other side of point. Too much width. He slashes on the up and gets it wide of third man
"length on middle stump, pushed to midwicket off the back foot"
"short of a length outside off, stabbed to extra cover"
"short of a length in the channel, nudged to point off the back foot"
"length outside off, left alone"
"nicely placed. Short ball outside off, allows it to come and and cuts to third man's left"
"short of a length and across off stump, left alone"
oh yes. Nicely played. Picks the length and leans in outside off to tap this wide of mid-off. But Roche sprints a long way and puts dive in from five yards to swim across the turf and pull this back in. Lovely stuff.
"short of a length outside off, pushed to mid-off on the up"
raps him on the pad. Fakhar shakes his head. Once again he's done by the rise off the pitch. Looks to flick and can't get bat on it
short and wide outside off. Cut to third man who is a lot squarer now
"length ball on off stump, dead-batted into the pitch"
"length ball at off stump, pushed to mid-off on the up"
"length and wide outside off. Opens his arms up and slaps it hard, straight to extra cover"
swivels and hooks to the square leg fence. Short ball doesn't rise menacingly enough and he makes easy work of it
"<b>inside edge past off stump</b> as he looks to drive with an angled bat, with a gap between bat and pad. Length ball slanted across off and he was looking to go through cover"
<b>top edge</b> as this bouncer lifts up at his helmet. Hurriedly hooks under it but not in control at all. Gets it fine in the end
"short of a length at off, defended off the back foot"
"short and wide outside, under-edges a cut to gully"
"length on off stump, defended on the front foot"
"length on off stump, defended on the front foot"
"short ball on the hips. Looks to glance it, cops it on the thigh guard"
"short of a length outside off, sliced to third man"
"short of a length on leg stump, whipped to fine leg off the toes"
short ball slanted across off stump. Thinks of the upper cut but withdraws
"full on middle stump, driven back to the bowler on the bounce"
"length on leg stump, dabbed to midwicket"
"length on leg stump, clipped to deep square leg"
"short of a length in the corridor, tapped into the covers"
"length on middle, blocked off the front foot"
"length on off stump, blocked into the covers"
"short of a length outside off, tapped to cover"
"length on the stumps, dead-batted into the pitch"
<b>too short</b> and he whacks it off the front foot. Well outside off and he sweeper cover has no chance to his left
"short of a length outside off, steps out and chops to sweeper cover"
"length on middle stump, flicked to midwicket"
"length on off stump, jabbed to mid-off on the up"
"bouncer on middle stump, pulled to deep square leg's right"
"offcutter, full on off stump, driven straight to extra cover"
get out of the way. Geez. He has slaughtered this short ball. Short and outside off and he's dragged it to the midwicket boundary
"length on middle stump, tapped into the off side"
"tossed up at middle stump, driven down to long-on"
"back of a length on middle stump, tapped back to the bowler"
"short and wide outside off, stays deep in the crease and carves it to the point boundary"
short of a length and in at leg stump. Punched to long-on off the back foot
"full on leg stump, tapped to midwicket's left off the inside half"
"short and at leg stump, punched to long-on from deep in the crease"
"oh well placed. Lobbed up full outside off. Allows it to land, gets to the pitch and punches between cover and extra"
"short ball outside off, cut straight to point"
"length ball wide outside off, leans in to drive to long-off"
"length ball on leg stump, gets deep in the crease and deflects it fine"
"length ball outside off, pushed to mid-off off the front foot"
"length on leg stump, driven to long-on"
poor bowling. Short and wide outside off. He waits for it slide in with the arm and carves it past short third man to <b>bring up his fifty</b>
"full on off stump, driven to long-off"
"floated up at off stump, driven to long-off"
"short of a length outside off, punched to sweeper cover off the back foot"
"short of a length slider in the corridor. He's hurried as he pulls, but there's no one at deep midwicket. Long-on runs around"
"length on off stump, defended off the back foot"
tossed up outside off from around the wicket. Uses the angle to open up his stance and drive expertly to long-off's right
"length on off stump, blocked on the front foot"
well played. Length ball fired in flat across him and he crouches to open the face and get this past short third man
nicely done at extra cover. Brian Chari leaps to his left and stops a potential boundary. Dropped very short and wide and this is punched hard
"full on leg stump, flicked to deep midwicket"
"length on off stump, flicked back to the bowler"
"full outside off, and slapped square off the front foot. Had four written all over it, but point dives to his left and intercepts. Clean work from Musakanda"
"good length on middle, and Imam comfortably runs it down to third man"
"good length on leg stump, and he nudges this off his pads to deep backward square leg"
"full on off, and this has been muscled through the covers. Fielder in the deep though"
