"good length first up on middle, onto the frontfoot and pushes it to mid-off fielder"
"tossed on the pads, nudges it to the on-side "
"tossed on middle, onto the frontfoot and does a defense"
"tossed up, onto the backfoot and does a defense "
"short ball, gets behind it nicely and does a defense"
"short again, tries the cheeky cut but misses on it"
"short ball again, moves away out of off-stump and pulls it down to fine leg for a boundary"
"short ball on middle, moves across and hooks it away to fine leg for a six"
"short outside off this time, comes down and goes with flow, slaps it over covers for a huge six, hes racing towards his century with the wins also coming along"
"short ball on off, drags it to mid-wicket to reach his century in style, superb batting display by stirling. he has smashed shapoor all around the ground"
"looped on middle, onto the frontfoot and does a defense"
"looped on off, pushes it to point for a quick run"
onto the frontfoot and does a defense
"looped on off, blocks it carefully to cover"
"looped up, drives it nicely to cover fielder"
"googly on off, comes forward to block it but got beaten and struck on his belly, loud appeal and given, great inning by stirling comes an end"
"quick outside off, tries to cut it from his position but misses"
"tossed up, onto the frontfoot and goes for a drive but beaten"
"tossed up, onto the frontfoot to drive and gets a edge away from the slip fielder down to thirdman for a boundary"
"tossed outside off, drives it towards cover for a run"
onto the frontfoot and driven down to long-on for a run
"tossed on leg, sweeps it fine and past short fine leg for a boundary to do it in style, Ireland have won the game and the series 2-1"
