Commentary,Runs,Wickets
"84 kph, flat on the pads, nudged to deep square leg for one",1,0
defended into the off side,0,0
"short and wide outside off, slashed to point",0,0
"85 kph, played towards midwicket",0,0
"taken! Yasir Shah strikes. Flatter trajectory outside off, gets it to turn a touch but more importantly, gets some extra bounce. Smith sees something short and goes back to cut. The extra bounce is responsible for a thick outside edge. Sarfraz hangs onto a quality reflex catch, had his gloves in the right spot.",0,1
"lovely bowling. Handscomb shuffles down but Yasir delivers a wide legbreak, forcing Handscomb to drive through point",0,0
"full outside off, 126 kph, defended",0,0
drifts down leg for an ODI wide,0,0
"slower ball, 131 kph, defended",0,0
"back of a length, the ball seaming back in. Renshaw watches the ball onto his bat as he defends",0,0
"whoa! <b>Pings Renshaw on the helmet.</b> That did not look good. Pakistan's players all enquire about Renshaw's health. That was a snorter from Amir. Superb delivery. Back of a length, gets that to tail back in. Renshaw's first instinct was to sway out of the line but realised late that the ball was coming back in. Tried to duck but this is international cricket, there is no time for hesitation. Gets thwacked on the grille. The team doctor Peter Bruckner is out to have a look at him",0,0
"131 kph, yorker on off, the follow-up. Defended. Lovely over. Pakistan have a sniff here",0,0
"flat on middle, cross-batted punch to mid-on",0,0
"87 kph, defended into the off side",0,0
worked to mid-on. Too full,0,0
"92 kph, on the pads, worked towards wide mid-on for one. Well played, use of the feet to get close to the pitch",1,0
Renshaw gets forward to defend,0,0
flicked through midwicket for one,1,0
"on the pads, clipped away through square leg for a couple. Well played",2,0
,1,0
"back of a length on middle and leg, defended",0,0
"good length around off, defended",0,0
"on a length on middle from around the wicket, Handscomb defends",0,0
"nice line. Full and wide outside off, Handscomb executes a flowing drive through extra cover for some runs",2,0
flicked to midwicket,0,0
"on the pads, an easy nudge off the pads to deep square leg",1,0
blocked into the off side towards cover,0,0
Handscomb comes down and defends towards cover,0,0
"lovely batting, runs to the pitch and flicks through wide mid-on who misfields and allows an extra run",2,0
"beauty. Flat delivery outside off, a hint of turn but enough to beat Handscomb on the outside edge",0,0
"full and straight, goes wide of the crease. Thick inside edge down to fine leg takes Renshaw to 97",1,0
"full outside off, Handscomb is hanging on the back foot as he defends towards cover",0,0
"140 kph, blocked towards cover",0,0
"tight around off, Handscomb is behind the line to block",0,0
"a slower ball on off, thick inside edge to square leg",0,0
"130 kph, defended from the crease",0,0
"<strong>a couple more to get to 99</strong>. Flat delivery outside off, Renshaw goes back and punches through extra cover",2,0
"doesn't matter. He gets there. <b>Renshaw's maiden Test hundred</b>. Wears a smile from his right  ear to his left. Worked to square leg for a run. Takes off his helmet, pumps the air, raises his bat, all in glee.",1,0
driven to cover,0,0
Handscomb comes down and defends into the off side,0,0
"85 kph, Handscomb steps out but has to defend because the ball is full and slightly wide",0,0
"no one there. perfectly safe. Flat on off, Handscomb loses his footing as he sweeps, a thick leading edge flies down towards backward square leg for three",3,0
"full and coming back in, 127 kph. Inside edged towards square leg",1,0
"good length on off, 126 kph, defended",0,0
"127 kph, fullish delivery outside off. Handscomb is still back and defends.",0,0
"overpitched on off, driven to mid-off, 129 kph.",0,0
"a slower ball, 128 kph outside off, A thick inside edge to square leg from Handscomb",0,0
"good length outside off, pushed away towards extra cover from the back foot",0,0
"another slower ball outside off, blocked",0,0
"slower ball outside off, Renshaw lays into his pull and whacks short leg",0,0
"83 kph, pushed towards cover from the back foot",0,0
"89 kph, on the pads, a thick inside edge towards fine leg",1,0
punched to extra cover from the back foot,0,0
played towards midwicket,0,0
"short and wide outside off, slashed to point",0,0
"full and wide outside off, driven to mid-off",0,0
"128 kph, another slowing drive finds mid-off",0,0
"back of a length outside off, nicely guided towards cover point for three. yasir chases after it, gets up gingerly",3,0
"full around off, blocked back",0,0
"back of a length outside off, guided towards point",0,0
"goes back and defends but Imran has overstepped. These no-balls are not helping Pakistan. They have to bowl extra, they concede free runs, they stall the momentum. Not good",1,0
"full and wide, 128 kph, left alone",0,0
"flat and wide outside off, spinning back in, punched back to the bowler",0,0
worked away through the leg side,0,0
Renshaw shuffles forward and drives with the spin to long-on,1,0
"89 kph, swept to deep backward square leg",1,0
"84 kph, played into the leg side",0,0
"the wrong un outside off, Renshaw picks the variation and executes a cut down to third man for three",3,0
"good length outside off, slashed toward point",0,0
"a loose drive. Full delivery, angling away in a channel just outside off. Renshaw misses his straight drive because of just-enough seam movement",0,0
"129 kph, short and wide, width. Poor stuff. Carved away in front of point for four",4,0
"128 kph, overpitched outside off, driven out towards mid-off",0,0
"whoa, <strong>what was that?</strong> Renshaw losing his concentration. Full and straight from Imran. Renshaw sees it early, wants to whip the ball, more of a heave, but the ball takes the outside edge and flies over gully for four",4,0
"dabbed to gully, 130 kph",0,0
"missed by everyone. Byes given. Tossed up outside off, Handscomb comes down and misses his drive. The ball spins and Sarfraz can't collect. Younis at slip can't either. Four byes, <strong>but a missed stumping</strong>",2,0
swept down to backward square leg,1,0
"shot. Opening up now is Renshaw. Full and wide outside off, Renshaw gets forward and drills his drive through cover, against the spin",4,0
"shortens the length this time, spins back in and hits Renshaw outside the line on the pad",0,0
pushed towards cover,0,0
swept down to fine leg for one,1,0
"back of a length outside off, a dab to deep point",1,0
"four more. Short and wide, Handscomb stabs a cut behind point and the ball races away",4,0
steered down to third man,1,0
