Lemma,Frequency
straightaway,324
samuel,324
camp,324
eyeline,323
class,323
pounce,323
bailey,323
following,323
tempted,323
squarer,322
headed,322
fiercely,322
aerial,322
rightly,322
brilliantly,321
freebie,321
manage,321
cross,321
coverstrong,321
nurdles,320
snaffle,320
kohlis,319
brace,319
im,319
legsided,318
scoots,317
minute,317
akmal,317
sprayed,317
reached,317
topedged,317
klaasen,316
delightful,316
veering,316
split,316
pain,316
avoid,315
shoot,315
putting,314
checking,313
upb,313
baz,313
mujeeb,312
thrash,312
okay,312
asghar,311
ripper,311
lifted,310
kishan,310
walked,310
feeling,309
dropping,309
ronchi,309
ripping,308
flourish,308
chakabva,308
roundarm,308
lash,307
slipstrong,307
flatbat,307
judge,306
luckily,306
tell,306
expose,305
especially,305
aggressive,305
staying,305
bnearly,305
possible,304
tempting,304
ensures,302
pouch,302
seem,302
meant,301
roar,301
strongnearly,301
swiped,301
advantage,301
magnificent,300
decided,300
roshen,299
livingstone,298
fell,297
thrust,297
trapped,297
started,297
shotstrong,297
smartly,296
chesthigh,295
realises,295
siddle,295
caressed,295
hopping,294
ah,294
timeb,294
mustafizur,293
kayes,293
smear,293
frustration,292
raced,292
asks,292
nonetheless,291
uppercut,291
crunching,291
kiss,290
younis,290
sweeping,290
flipped,289
travel,289
mixup,289
clobbered,288
intercepted,288
bgets,288
red,287
straightforward,287
refuse,287
certainly,286
showing,286
watchful,285
btop,285
stroked,285
whats,285
infielder,285
prop,285
transfer,284
kumara,284
rahmat,284
compact,284
toeended,283
ijusti,283
tiny,283
wristy,282
smoke,282
reviewb,282
minimal,282
gate,282
nurse,282
bow,282
shanaka,282
king,281
happened,281
cheer,281
cost,281
lazy,281
launched,280
create,280
targeting,280
reward,279
awayb,279
thakur,278
teasing,278
often,278
deftly,278
none,278
bending,278
patel,277
eludes,277
total,277
liked,276
small,276
nope,276
care,276
shuffled,276
absolute,275
squareb,275
searching,274
rider,274
crossbatted,274
terrible,273
squarestrong,273
hesitation,273
longons,273
welldirected,272
turner,272
confirms,272
whipping,272
letting,271
himstrong,271
switch,271
mire,271
nz,270
hattrick,270
exactly,270
brook,270
lunch,269
love,268
session,268
homing,268
alert,268
sammy,267
light,267
inviting,267
nawaz,267
handsomely,267
paul,266
incredible,266
indrifter,266
pinned,266
popped,266
outstrong,266
prevents,265
plonk,265
horizontal,265
within,265
idea,265
hitb,264
wonderful,264
testing,264
spike,264
powerplay,263
bwhat,263
cottrell,263
bleading,263
whistle,263
clearing,262
bringing,262
bcaught,261
young,261
ugly,260
confirm,260
quality,260
clobber,260
keeperb,260
watching,260
opts,259
reason,259
suddenly,259
goodlength,259
regulation,258
manb,258
white,258
fierce,258
case,258
pradeep,257
fiftystrong,257
issue,257
appears,257
effect,257
attempting,256
feather,256
thatll,256
seifert,256
crisp,256
swiftly,256
rate,256
quickish,255
groundb,255
tracking,255
sending,255
kp,255
rassie,255
elegantly,254
delivers,254
henry,254
interesting,254
search,254
lower,254
midriff,254
buttlers,254
juicy,253
scuttle,253
allen,253
fourstrong,253
deny,253
advancing,253
steep,252
equal,252
happening,252
error,252
underedges,251
arrive,251
scramble,251
executed,251
classy,251
scurry,251
bin,251
cup,251
balltracking,251
miscued,249
ballstrong,249
soar,248
coversb,248
challenge,248
convinced,247
drink,247
rubel,247
brush,247
dar,247
cdg,247
slug,247
shah,246
pump,246
midoffb,246
stationed,246
thread,246
threat,246
wildly,245
mandeep,245
stood,245
asela,245
cry,245
else,245
briefly,244
sandakan,244
unleashes,244
tiwary,244
sublime,244
wouldnt,244
fullblooded,244
meeting,243
scoring,242
bisects,242
dananjaya,242
confidence,242
mithun,242
mashrafe,241
load,241
itstrong,241
shouldve,241
tonight,240
biff,240
shortofalength,239
stifled,239
stumpsb,239
opener,238
swerving,238
healthy,238
flogged,238
catchb,238
jarvis,238
ipl,238
continue,237
nonchalantly,237
trap,237
hasaranga,237
wisely,237
khan,237
dispatch,236
teammate,236
account,236
strongly,236
sloppy,236
midonb,236
slammed,236
technique,235
bhuge,235
yep,235
allowed,235
delicate,234
okeefe,234
concedes,234
oooh,233
strongthe,233
shankar,232
timber,232
flatfooted,232
steeply,232
looping,232
harmlessly,232
word,232
denied,231
bthat,231
react,231
simmons,230
everyone,230
effective,229
ti,229
hauled,229
ultraedge,229
deliberately,229
dispatched,229
palm,229
collected,229
excitement,228
behindb,228
rossouw,228
crashing,228
premeditates,227
dink,227
connected,227
dare,227
cremer,227
forearm,226
manstrong,226
badly,226
covered,225
course,225
losing,225
price,225
strongbig,225
deflect,225
spray,225
slogsweeps,224
year,224
mcdermott,224
murtagh,224
chopping,224
wee,224
strongjust,223
certain,223
pin,223
desperate,223
backtoback,223
shamsi,222
otherwise,222
avoids,222
deposit,222
fletcher,222
suryakumar,222
poking,221
keen,221
tripathi,221
flow,221
carpet,221
marginally,221
scooped,221
sharma,220
authority,220
fashion,220
middlestump,220
bbowled,220
kane,220
indian,220
trust,220
therefore,220
straightened,220
notout,219
changeup,219
coulternile,219
pose,219
heel,219
mishit,219
wides,219
bshotb,218
tracker,218
retain,218
wristily,218
strongwhat,218
interest,218
gullyb,217
age,217
nonturner,217
skidded,217
harm,216
lawrence,216
click,216
broken,215
pure,215
flush,215
mumbai,215
wheel,215
singh,215
awaygoing,215
dolly,214
walton,214
strongbowled,214
dipped,214
rapid,214
debut,214
suggest,213
hoping,213
pickup,213
ross,213
mohammed,213
throwing,213
heat,212
trademark,212
kw,212
broom,212
special,212
cling,212
process,212
pluck,211
strongthis,211
stage,211
mayank,210
highest,210
thrown,210
scream,209
passed,209
nonturning,209
bfalls,208
mitchell,208
tier,208
chipping,208
dockrell,208
vain,208
reviewing,208
nasty,208
calm,208
longoffb,207
smoothly,207
sixb,207
tremendous,206
mehedi,206
count,206
silk,206
bthis,206
catcher,206
size,206
clue,205
loosener,205
invite,205
repeat,205
glided,205
effortlessly,205
vertical,205
blundell,205
leftarm,204
considering,204
bthrough,204
amazing,204
taskin,204
arent,204
placing,204
sam,204
said,203
shouldering,203
money,203
strongbeats,203
plug,203
pummels,203
eight,203
wonder,202
careful,202
sharjeel,202
underarm,202
lurking,201
scythed,201
klinger,201
siraj,201
unlucky,201
kneeroll,201
physio,201
drivestrong,201
withdraws,201
becomes,200
cartwright,200
dressing,200
fuss,200
wickettowicket,200
mosaddek,200
slowed,200
dash,200
longhop,199
skipper,199
business,199
banton,199
positive,199
ambris,199
easier,199
oof,199
figure,198
tiripano,198
finer,198
harbhajan,198
openfaced,198
seven,197
dangles,197
level,197
boom,197
evasive,196
stanlake,196
ashraf,196
bbrings,196
secures,196
rose,196
jabbing,196
btheres,196
radar,196
maximum,195
sink,195
rohits,195
grounded,195
ambitious,195
disappointed,195
fending,195
covering,195
cautiously,195
maddinson,194
sundar,194
erasmus,194
washington,194
conventional,194
nose,194
impressive,194
akila,194
rocket,193
lbwstrong,193
deft,193
hooda,193
upstrong,193
closing,193
dawson,192
ensure,192
spill,192
batpad,192
floaty,192
gunaratne,192
chat,192
awful,192
grass,191
knocking,191
ankle,191
hughes,191
skipping,191
padded,190
footmark,190
skim,190
convert,190
stoutly,190
nicked,190
handsome,189
afghan,189
celebrates,189
salt,189
rankin,189
suggests,188
jamieson,188
seamup,188
nurdle,188
genuine,188
mood,188
skidder,188
hamza,188
extends,188
brave,187
fetched,187
bounceb,187
utterly,187
blovely,187
cleverly,187
fizzing,187
tossedup,187
relay,187
smashing,187
middled,186
unfurls,186
soaring,186
evade,186
hurl,186
firing,186
intention,186
shouldered,185
drove,185
chahar,185
ouch,185
ticking,185
completed,185
graz,185
dhonis,184
spanked,184
natural,184
halfhearted,184
bone,183
strongkphstrong,183
strongdroppedstrong,183
welljudged,183
laced,182
floating,182
rocked,182
flung,182
strength,181
sixstrong,181
converge,181
harper,181
snake,181
negotiated,181
fat,180
strongshort,180
rapidly,180
failed,179
cornwall,179
skill,179
oneb,179
gleefully,179
mistiming,179
unable,179
cheeky,179
travelling,179
bstraight,179
nine,179
deserved,179
alright,179
flashing,179
shinwari,178
philippe,178
spank,178
spotted,178
rebound,178
legspinner,178
aggression,177
strongtop,177
backofthehand,177
season,177
underedged,177
rear,176
credit,176
committed,176
defeat,175
dharmasena,175
sideb,175
except,175
sixthstump,175
jumped,175
naib,175
missstrong,175
smoked,175
unadkat,174
nudging,174
udana,174
spit,174
tea,174
flirt,173
grille,173
batface,173
different,173
driveb,173
harder,173
reckons,173
longoffs,173
streaky,172
sub,172
claim,172
rattle,172
bfiftyb,172
brushed,172
mishra,172
nervous,172
revers,172
nowb,171
adjacent,171
walloped,171
caughtbehind,171
slipping,171
hustled,171
longer,170
blast,170
bigger,170
bruyn,170
thanks,170
crouch,170
shahidi,170
guess,170
vital,170
anticipated,169
sailing,169
recovers,169
wobbling,169
worry,169
appealstrong,168
uncomfortably,168
lowb,168
guiding,168
weatherald,168
burl,168
languid,168
according,167
deviate,167
adjustment,167
airb,167
fish,167
